title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Temporary recognition of entrepreneurs as recipients of labour market subsidy,Finland,04/08/2020,Extensions of income support to workers not covered by any kind of protection scheme,09/28/2021,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-15_254.html
COVID II state guarantee programme,Czechia,04/02/2020,Access to finance,05/28/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-14_255.html
Shortened notice period for temporary layoffs,Finland,04/01/2020,Flexibilisation and security,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-14_256.html
Temporarily shortened duration of employer-employee negotiations on temporary layoffs,Finland,04/01/2020,Flexibilisation and security,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-14_258.html
Transfer of employees from hotels and restaurants to food industry,Slovakia,03/19/2020,Transfer or redeployment of workers ,10/06/2020,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-12_261.html
Temporary layoffs of employees on a fixed-term contracts,Finland,04/01/2020,Flexibilisation and security,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-14_263.html
COVID-19 wage supplement,Malta,03/24/2020,"Income support for people in employment (e.g., short-time work)",06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-13_264.html
Termination of employment during trial period for financial and production-related reasons,Finland,04/01/2020,Flexibilisation and security,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-14_265.html
Extension of the employee re-employment obligation to nine months,Finland,04/01/2020,Flexibilisation and security,07/10/2020,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-14_267.html
Business Finland's new direct business subsidies for SMEs and midcap companies,Finland,03/27/2020,Access to finance,01/04/2021,https://static.eurofound.europa.eu/covid19db/cases/FI-2020-13_269.html
Additional unemployed benefit,Malta,03/09/2020,Income support for unemployed,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-11_272.html
New parental benefit to care for children during school closures,Malta,03/09/2020,Support for parents and carers (financial or in kind),11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-11_273.html
Person with disability benefit who cannot work for medical reasons can apply for benefit,Malta,03/09/2020,Extensions of income support to workers not covered by any kind of protection scheme,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-11_274.html
Medical benefit for COVID-19 risk group who cannot carry out their work,Malta,03/28/2020,Paid sick leave,11/15/2021,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-13_275.html
Quarantine leave - Grants for employers,Malta,03/18/2020,Paid sick leave,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-12_276.html
Facilitating teleworking,Malta,02/15/2020,"Teleworking arrangements, remote working",06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-7_277.html
Deferral of payment of taxes,Malta,03/18/2020,Deferral of payments or liabilities,05/11/2021,https://static.eurofound.europa.eu/covid19db/cases/MT-2020-12_278.html
Outstanding tax payments postponed to October,Greece,03/11/2020,Deferral of payments or liabilities,12/01/2020,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-11_280.html
Reduced lease payments for commercial leases and primary residences as well as for financial lease,Greece,03/01/2020,Direct subsidies (full or partial) or damage compensation,11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-10_282.html
Acceleration of income tax and VAT refund,Greece,03/20/2020,Direct subsidies (full or partial) or damage compensation,07/30/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_283.html
Production of personal sanitary protective masks,Slovakia,03/13/2020,Change of production/Innovation,05/13/2021,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-11_284.html
Compensation bonus for self-employed and certain shareholders,Czechia,03/12/2020,Extensions of income support to workers not covered by any kind of protection scheme,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-11_285.html
Tax liberation and stabilisation packages,Czechia,03/16/2020,Deferral of payments or liabilities,05/06/2021,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-12_286.html
Deductions from assessed tax liabilities for companies retaining employees,Greece,03/30/2020,Direct subsidies (full or partial) or damage compensation,11/16/2021,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-14_287.html
Deferral and/or instalment payment of tax liabilities,Croatia,03/19/2020,Deferral of payments or liabilities,10/28/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_288.html
Deferring and paying VAT during special circumstances,Croatia,04/01/2020,Deferral of payments or liabilities,10/28/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-14_289.html
Employers' dispensation to pay a compensation for sick leave,Slovakia,04/01/2020,Paid sick leave,05/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-14_290.html
Broadening active labour market policy programmes - supporting job retention,Slovakia,03/27/2020,"Income support for people in employment (e.g., short-time work)",10/26/2023,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-13_291.html
Extension of the support period for unemployment benefit,Slovakia,04/04/2020,Income support for unemployed,05/12/2021,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-14_292.html
Introduction of a pandemic nursing benefit,Slovakia,03/27/2020,Support for parents and carers (financial or in kind),02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-13_294.html
Postponement of the employers' deadline for payment of compulsory social security obligations,Slovakia,04/06/2020,Deferral of payments or liabilities,05/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-15_295.html
Special paid leave for the caring of children,Cyprus,03/16/2020,Support for parents and carers (financial or in kind),07/15/2021,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_296.html
Exceptional and temporary measure on layoffs to protect jobs in the context of the COVID-19 pandemic,Portugal,03/27/2020,"Income support for people in employment (e.g., short-time work)",02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-13_297.html
Compensation for employees in self-isolation,Lithuania,02/29/2020,Paid sick leave,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-9_298.html
Compensation for employees looking after children or disabled persons while in quarantine,Lithuania,02/29/2020,Support for parents and carers (financial or in kind),06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-9_299.html
Waiver of advance payments for social and health insurance for self-employed,Czechia,03/01/2020,Direct subsidies (full or partial) or damage compensation,07/01/2020,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-10_300.html
Idle-time allowance for employees ,Latvia,03/14/2020,"Income support for people in employment (e.g., short-time work)",01/20/2021,https://static.eurofound.europa.eu/covid19db/cases/LV-2020-11_301.html
New rules for teleworking,Slovakia,04/04/2020,"Teleworking arrangements, remote working",10/20/2021,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-14_302.html
Measures for short-time working in cases of force majeure related to the Coronavirus,Luxembourg,03/19/2020,"Income support for people in employment (e.g., short-time work)",06/28/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_303.html
Compensation for doctors and other officials infected with COVID-19 during their duty,Lithuania,03/19/2020,Paid sick leave,07/22/2021,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_304.html
Jobsharing made more flexible,Denmark,03/12/2020,"Change of work arrangements (working time, rota schemes)",11/11/2021,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-11_305.html
Establishment of an emergency fund for the self-employed,Luxembourg,04/08/2020,Extensions of income support to workers not covered by any kind of protection scheme,07/20/2021,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-15_306.html
Telework - exceptional and temporary measure in the context of the COVID-19 pandemic,Portugal,03/22/2020,"Teleworking arrangements, remote working",02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-13_307.html
Emergency fund for very small businesses and self-employed persons,Luxembourg,03/25/2020,Direct subsidies (full or partial) or damage compensation,07/20/2021,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-13_308.html
Suspending an employee from work in the event of an emergency or quarantine,Lithuania,03/19/2020,Occupational health and safety,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_309.html
Czech Network platform,Czechia,03/28/2020,Matching/networking,05/17/2021,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-13_310.html
Wage subsidies for companies declaring idle time due to quarantine/emergency situation,Lithuania,03/19/2020,"Income support for people in employment (e.g., short-time work)",06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_311.html
Reinforcement of resources and powers of the authority for working conditions (ACT),Portugal,04/03/2020,Flexibilisation and security,04/20/2023,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-14_312.html
Vocational training for workers who have been suspended due to quarantine regime,Lithuania,03/17/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_313.html
Compensation for self-employed,Lithuania,03/19/2020,Extensions of income support to workers not covered by any kind of protection scheme,06/15/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_314.html
Exceptional suspension of termination of employment contracts in NationalExceptional suspension of termination of employment in Health Servic,Portugal,04/03/2020,Flexibilisation and security,02/27/2023,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-14_316.html
"Interest-free loan from the Republic of Croatia to local and regional units of government, Croatian Health Insurance Institute and Croatian Institute for Pension Insurance",Croatia,03/19/2020,Access to finance,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_317.html
"Measures of Croatian Bank for Reconstruction and Development (HBOR) and Croatian Agency for SMEs, Innovation and Investment (HAMAG-BICRO)",Croatia,03/19/2020,Access to finance,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_319.html
Exceptional regime suspending overtime limits ,Portugal,03/14/2020,"Change of work arrangements (working time, rota schemes)",04/20/2023,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-11_320.html
Cancellation and reduction of taxes and social contributions,Croatia,04/07/2020,Deferral of payments or liabilities,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-15_321.html
Postponement of and exemption from payment of tourist membership fee for economic entities and private renters,Croatia,03/19/2020,Deferral of payments or liabilities,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_322.html
Temporary subsidy programme,Estonia,03/01/2020,"Income support for people in employment (e.g., short-time work)",09/29/2023,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-10_325.html
Special scheme for complete suspension of business,Cyprus,03/11/2020,"Income support for people in employment (e.g., short-time work)",07/15/2021,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-11_327.html
Tax deferral for companies and self-employed,Lithuania,03/16/2020,Deferral of payments or liabilities,10/18/2021,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_329.html
Special scheme for partial suspension of business,Cyprus,03/16/2020,"Income support for people in employment (e.g., short-time work)",10/14/2021,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_330.html
Extraordinary training plan - Exceptional and temporary measure to protect jobs in the context of the COVID-19 pandemic,Portugal,03/27/2020,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/17/2021,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-13_335.html
Postponement of the payment of concession fees on tourist land in camps,Croatia,03/17/2020,Deferral of payments or liabilities,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_336.html
Social tax payments for solo self-employed,Estonia,03/20/2020,Direct subsidies (full or partial) or damage compensation,07/15/2020,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-12_337.html
Compensation for interest on loan or lease payments,Lithuania,03/16/2020,Direct subsidies (full or partial) or damage compensation,10/15/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_340.html
Interests on tax arrears suspended/reduced,Estonia,03/01/2020,Deferral of payments or liabilities,07/14/2020,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-10_341.html
Chamber of Commerce temporarily suspends membership fee,Croatia,03/01/2020,Direct subsidies (full or partial) or damage compensation,12/01/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-10_342.html
Special scheme for self-employed workers,Cyprus,03/16/2020,Extensions of income support to workers not covered by any kind of protection scheme,10/06/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_343.html
Croatian Chamber of Trades and Crafts suspends company fees for the second trimester 2020,Croatia,04/01/2020,Direct subsidies (full or partial) or damage compensation,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-14_344.html
Temporary exemption of payment of social security contributions due by employers - Exceptional and temporary measure to protect jobs in the context of the COVID-19 pandemic ,Portugal,03/27/2020,Direct subsidies (full or partial) or damage compensation,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-13_345.html
Special sick leave allowance for vulnerable workers and for mandatory quarantine,Cyprus,03/16/2020,Paid sick leave,01/19/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_346.html
Emergency loan and loan guarantee,Estonia,03/27/2020,Access to finance,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-13_347.html
Use of the Forest Public Benefit Function Fee,Croatia,03/19/2020,Access to finance,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_348.html
KfW instant loan for medium-sized entreprises,Germany,03/23/2020,Access to finance,11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_349.html
KfW entrepreneur loan,Germany,03/23/2020,Access to finance,11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_352.html
Guarantees for business loans and leasing,Lithuania,04/10/2020,Access to finance,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-15_353.html
Economic stabilisation fund,Germany,03/23/2020,Access to finance,03/27/2024,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_354.html
Subsistence support for freelancers in creative industries,Estonia,04/19/2020,Extensions of income support to workers not covered by any kind of protection scheme,01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-17_355.html
Technology-COVID call within OPPIK,Czechia,04/15/2020,Change of production/Innovation,05/28/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-16_356.html
Care allowance during emergency period for homeschooling 6 to 13 year-old children,Czechia,03/19/2020,Support for parents and carers (financial or in kind),10/09/2020,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-12_357.html
Save jobs! - Employee sharing,Czechia,03/31/2020,Smoothing frictions or reallocation of workers,01/04/2021,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-14_358.html
Soft loans to provide liquidity in the most affected sectors,Lithuania,04/16/2020,Access to finance,01/04/2021,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-16_359.html
Suspension of tax payments for monument annuity to support tourism industry,Croatia,04/01/2020,Direct subsidies (full or partial) or damage compensation,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-14_360.html
Grants to protect jobs during the pandemic,Croatia,03/20/2020,"Income support for people in employment (e.g., short-time work)",07/12/2023,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_361.html
Support package for culture field,Estonia,04/19/2020,Direct subsidies (full or partial) or damage compensation,05/30/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-17_362.html
Direct participation for syndicate financing,Germany,03/23/2020,Access to finance,11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_363.html
Extension of entitlement to financial assistance for permanent seasonal workers,Croatia,03/19/2020,Extensions of income support to workers not covered by any kind of protection scheme,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_366.html
Teleworking and working from home in the public and broader public sector,Cyprus,03/17/2020,"Teleworking arrangements, remote working",05/08/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_367.html
Deferral of mortgage payments,Lithuania,03/17/2020,Keeping or obtaining a safe home,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_368.html
Requisition of doctors and nurses ,Cyprus,03/19/2020,Mobilisation of a larger workforce,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-12_369.html
Wage increases for medical staff,Lithuania,03/16/2020,Remuneration and rewards for workers in essential services,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_370.html
Tourism coupons,Lithuania,04/24/2020,Deferral of payments or liabilities,05/10/2021,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-17_371.html
Allowance for self-employed and non-standard workers,Romania,04/16/2020,Extensions of income support to workers not covered by any kind of protection scheme,08/10/2021,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-16_372.html
Indemnity for technical unemployment,Romania,03/15/2020,"Income support for people in employment (e.g., short-time work)",09/23/2022,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-12_373.html
Utilisation of graduate medical and nursing students ,Cyprus,03/23/2020,Mobilisation of a larger workforce,05/07/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-13_374.html
Sick leave amendments,Estonia,03/13/2020,Paid sick leave,04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-11_375.html
Bonuses for employees working in social service institutions,Lithuania,03/16/2020,Remuneration and rewards for workers in essential services,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/LT-2020-12_377.html
Debt moratorium on loans and mortgages,Czechia,03/26/2020,Deferral of payments or liabilities,10/27/2020,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-13_378.html
More favourable tax treatment of state subsidies due to special circumstances,Croatia,03/19/2020,Direct subsidies (full or partial) or damage compensation,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_379.html
Extension of temporary unemployment due to force majeure,Belgium,03/13/2020,"Income support for people in employment (e.g., short-time work)",06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-11_380.html
Measures to support shipping companies,Estonia,01/01/2020,Direct subsidies (full or partial) or damage compensation,01/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-1_384.html
Deferral payment and reduction of financial compensation for failure to fulfil the obligation of quota employment of persons with disabilities,Croatia,03/19/2020,Deferral of payments or liabilities,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_385.html
Introduction of the pandemic sickness benefit,Slovakia,03/27/2020,Paid sick leave,02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-13_386.html
Temporary job offers portal,Estonia,03/17/2020,Smoothing frictions or reallocation of workers,01/04/2021,https://static.eurofound.europa.eu/covid19db/cases/EE-2020-12_387.html
Customised support for start-ups,Germany,04/01/2020,Access to finance,05/31/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-14_388.html
The state of emergency in the healthcare,Slovakia,03/16/2020,Smoothing frictions or reallocation of workers,06/29/2020,https://static.eurofound.europa.eu/covid19db/cases/SK-2020-12_389.html
Rotation of working teams rota in public passenger transportation companies,Portugal,03/23/2020,"Change of work arrangements (working time, rota schemes)",05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-13_390.html
Support for persons in the sector arts and entertainment,Croatia,03/15/2020,Extensions of income support to workers not covered by any kind of protection scheme,11/08/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_391.html
Civil protection authority entitled to set working time in retail trade,Croatia,03/19/2020,Changes of working hours or work arrangements,11/10/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_392.html
Care for children or other dependants of workers of essential services,Portugal,03/14/2020,Mobilisation of a larger workforce,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-11_395.html
Extraordinary extension of unemployment benefit and social benefit,Portugal,03/12/2020,Income support for unemployed,08/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-11_397.html
Banks will not take enforcement measures to collect debts from companies or citizens,Croatia,03/19/2020,Deferral of payments or liabilities,11/10/2021,https://static.eurofound.europa.eu/covid19db/cases/HR-2020-12_398.html
Czech Rise Up Programme 1.0 and 2.0 – Smart solutions to combat COVID-19,Czechia,04/02/2020,Change of production/Innovation,05/27/2021,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-14_399.html
Suspension of payment of credit facilities instalments ,Cyprus,03/30/2020,Deferral of payments or liabilities,07/15/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-14_401.html
Sick leave during pandemic covered by state funds,Slovenia,04/11/2020,Paid sick leave,01/31/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2020-15_402.html
Postponing insolvency procedures,Germany,03/23/2020,Rescue procedures in case of insolvency or adaptation of insolvency regulation,05/31/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_403.html
Basic income support for solo self-employed,Germany,03/23/2020,Extensions of income support to workers not covered by any kind of protection scheme,02/27/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_404.html
Chemical sector: Collective agreement for getting through the COVID-19 pandemic,Germany,03/27/2020,"Income support for people in employment (e.g., short-time work)",07/22/2021,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_406.html
Deferral of tax payments,Germany,03/23/2020,Deferral of payments or liabilities,11/08/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_407.html
Adjusting tax prepayments,Germany,03/23/2020,Direct subsidies (full or partial) or damage compensation,07/07/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_408.html
Waiving overdue tax debts,Germany,03/23/2020,Deferral of payments or liabilities,07/07/2023,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-13_409.html
Exceptional and temporary regime for compliance with fiscal obligations and social contributions,Portugal,04/12/2020,Deferral of payments or liabilities,11/17/2021,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-16_410.html
Ordinary wage guarantees and new regulation of the exceptional wage guarantee fund,Italy,02/23/2020,"Income support for people in employment (e.g., short-time work)",07/29/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-9_411.html
Extension period for the payment of social insurances,Cyprus,03/31/2020,Deferral of payments or liabilities,05/06/2020,https://static.eurofound.europa.eu/covid19db/cases/CY-2020-14_412.html
Allowances for idle time for self-employed,Latvia,03/14/2020,Extensions of income support to workers not covered by any kind of protection scheme,01/22/2021,https://static.eurofound.europa.eu/covid19db/cases/LV-2020-11_413.html
Free paid days to parents for the purpose of childcare,Romania,04/15/2020,Support for parents and carers (financial or in kind),02/07/2022,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-16_414.html
Flemish interruption premium during COVID-19,Belgium,03/18/2020,Direct subsidies (full or partial) or damage compensation,06/29/2021,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-12_417.html
Flemish compensation premium in case of large turnover loss,Belgium,03/15/2020,Direct subsidies (full or partial) or damage compensation,03/03/2023,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-12_418.html
Metal and electrical sector: Social partners settle crisis agreement,Germany,04/01/2020,"Income support for people in employment (e.g., short-time work)",11/10/2021,https://static.eurofound.europa.eu/covid19db/cases/DE-2020-14_420.html
Support measures for self-employed workers facing difficulties,Belgium,04/18/2020,Deferral of payments or liabilities,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-16_421.html
Wallonia: Financial support for SMEs,Belgium,03/25/2020,Direct subsidies (full or partial) or damage compensation,05/07/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-13_422.html
Brussels: One-off grant for closed businesses,Belgium,03/18/2020,Direct subsidies (full or partial) or damage compensation,05/07/2020,https://static.eurofound.europa.eu/covid19db/cases/BE-2020-12_423.html
Emergency package for Czech exporters,Czechia,03/18/2020,Matching/networking,05/17/2021,https://static.eurofound.europa.eu/covid19db/cases/CZ-2020-12_425.html
Temporary and exceptional support to the emergency reinforcement of public and solidary health and social care services,Portugal,04/01/2020,Smoothing frictions or reallocation of workers,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-14_426.html
"COVID-19 indemnity for self-employed, economically dependent workers and employees",Italy,03/17/2020,Extensions of income support to workers not covered by any kind of protection scheme,09/14/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_427.html
Credit Line Capitalizar 2018 – COVID-19,Portugal,03/12/2020,Access to finance,05/05/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-11_428.html
Leave and allowance for workers with children and other dependants,Italy,03/17/2020,Support for parents and carers (financial or in kind),09/14/2021,https://static.eurofound.europa.eu/covid19db/cases/IT-2020-12_429.html
Financial aid for self-employed to compensate for temporary financial difficulties caused by the COVID-19 crisis,Luxembourg,03/15/2020,Direct subsidies (full or partial) or damage compensation,11/17/2021,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_430.html
Extraordinary support for the reduction of self-employed economic activity,Portugal,03/15/2020,Extensions of income support to workers not covered by any kind of protection scheme,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-12_432.html
Extraordinary financial incentive to support the normalisation of business activity,Portugal,03/27/2020,Measures to support a gradual relaunch of work,05/10/2021,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-13_433.html
Regularisation of immigrants' presence on national territory,Portugal,05/26/2020,Protection of vulnerable groups (beyond employment support),07/14/2020,https://static.eurofound.europa.eu/covid19db/cases/PT-2020-22_434.html
New agreement on partial unemployment establishes minimum social wage for unskilled worker as new compensation floor,Luxembourg,03/15/2020,"Income support for people in employment (e.g., short-time work)",05/31/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2020-12_435.html
